"","artist","title","sales_price","sold_dummy","low_estimate","high_estimate","signiture","height","width","surface","created","medium","auction_lot","auction_date","auction_location"
"17","Gee Yun","ADAM AND EVE",867880,1,256200,384300,NA,80.6,64.8,5222.88,NA,"Oil / Canvas","1025","3/31/19","0"
"18","Wou-Ki Zao","UNTITLED",14855240,1,7686000,10248000,"Signed and Dated",114.3,162.6,18585.18,"1958","Oil / Canvas","1026","3/31/19","0"
"19","Wou-Ki Zao","VILLAGE DE MONTAGNE SE DISPERSENT",2328220,1,1921500,3202500,"Signed and Dated",73,92,6716,"1954","Oil / Canvas","1027","3/31/19","0"
"20","Wou-Ki Zao","17.12.60",7559950,1,5124000,7686000,"Signed and Dated",160.5,130,20865,"1960","Oil / Canvas","1028","3/31/19","0"
"21","Wou-Ki Zao","15.02.65",13104370,1,8967000,12810000,"Signed and Dated",97,195,18915,"1965","Oil / Canvas","1029","3/31/19","0"
"22","Wou-Ki Zao","19.01.61",10186260,1,7686000,10248000,"Signed and Dated",113.6,161.9,18391.84,"1961","Oil / Canvas","1030","3/31/19","0"
"23","Wou-Ki Zao","10.01.86",8289480,1,3202500,4483500,"Signed and Dated",195,130,25350,"1986","Oil / Canvas","1031","3/31/19","0"
"24","Pang Jiun","A THOUSAND SAILS ON THE SPRING TIDE",791020,1,448350,768600,"Signed and Dated",200,750,150000,"2018","Oil / Canvas","1033","3/31/19","0"
"25","Georges Mathieu","LA PASSION RETROUV?E",480380,1,153720,358680,"Signed and Dated",97,162,15714,"1976","Oil / Canvas","1034","3/31/19","0"
"26","Chin Hsiao","INNER LIGHT",272210,1,102480,204960,"Signed and Dated",102,133,13566,"1966","Acrylic / Canvas","1036","3/31/19","0"
"27","Enrico Castellani","SUPERFICIE BIANCA",256200,1,192150,358680,"Signed and Dated",100,100,10000,"1985","Acrylic on shaped canvas","1037","3/31/19","0"
"28","Lalan","LA LUNE EST VOIL?E",867880,1,192150,384300,"Signed and Dated",130,195,25350,"1974","Oil / Canvas","1038","3/31/19","0"
"29","Sophie Chang","LEANING BEAUTY",416330,1,128100,256200,"Signed and Dated",90,250,22500,"2018","Oil / Canvas","1039","3/31/19","0"
"30","Sophie Chang","SAMANTABHADRA",160130,1,38430,64050,"Signed and Dated",72.5,91,6597.5,"2018","Oil / Canvas","1040","3/31/19","0"
"31","Pham Hau","NINE CARPS IN THE WATER (IN FOUR PARTS)",883250,1,256200,384300,"Signed",180,198,35640,"c. 1939-40","Lacquer on wood panel","1103","3/31/19","0"
"32","Adrien Jean Le Mayeur de Merpres","TWO WOMEN SHADED BY AN UMBRELLA",1175320,1,512400,768600,"Signed",75,90.5,6787.5,NA,"Oil / Canvas","1104","3/31/19","0"
"33","Adrien Jean Le Mayeur de Merpres","FESTIVAL",1252180,1,640500,896700,"Signed",90.5,120.5,10905.25,NA,"Oil / Canvas","1105","3/31/19","0"
"34","Adrien Jean Le Mayeur de Merpres","LE TABLEAU CHINOIS",1329040,1,384300,640500,"Signed",76,91,6916,NA,"Oil / Canvas","1106","3/31/19","0"
"35","Romualdo Battista Federico Locatelli","PORTRAIT OF A GIRL",668040,1,192150,320250,"Signed and Dated",88,58,5104,"1939","Oil / Canvas","1107","3/31/19","0"
"36","Manfong Lee","DOVES",1636480,1,384300,640500,"Signed",122,244,29768,NA,"Oil / Masonite","1108","3/31/19","0"
"37","Manfong Lee","BALI LIFE (ESTIMATE UPON REQUEST)",3711700,1,NA,NA,"Signed",81.5,182,14833,NA,"Oil / Masonite","1109","3/31/19","0"
"38","Kusama Affandi","BARONG",384300,1,230580,358680,"Signed and Dated",100.5,160,16080,"1980","Oil / Canvas","1110","3/31/19","0"
"39","Kusama Affandi","SELF PORTRAIT",256200,1,230580,358680,"Signed and Dated",127.5,96.5,12303.75,"1977","Oil / Canvas","1111","3/31/19","0"
"40","Hendra Gunawan","WOMEN AND CHILDREN BY THE BEACH (ESTIMATE UPON REQUEST)",1405900,1,NA,NA,"Signed",139,194.5,27035.5,NA,"Oil on canvas mounted on wood panel / Canvas","1112","3/31/19","0"
"41","Soo Pieng Cheong","ABSTRACT 1963",NA,0,153720,230580,"Signed and Dated",64.5,84.5,5450.25,"1963","Oil / Board","1113","3/31/19","0"
"42","Ronald Ventura","BANG",320250,1,256200,384300,"Signed and Dated",182.5,152,27740,"2017","Oil / Canvas","1116","3/31/19","0"
"43","Inyoman Masriadi","I HAVE BALL",272210,1,204960,358680,"Signed and Dated",300,200,60000,"2016","Acrylic / Canvas","1117","3/31/19","0"
"44","Walasse Ting","PORTRAIT OF A WOMAN",6730,1,3843,6410,"Stamped",51,70.5,3595.5,NA,"Acrylic / Paper","201","4/1/19","0"
"45","Walasse Ting","THREE WOMEN",16010,1,12810,19220,"Stamped",177,96,16992,NA,"Acrylic / Paper","203","4/1/19","0"
"46","Raduan Man","A KISS GOODNIGHT",4803,1,5120,7690,"Signed and Dated",203,203,41209,"2018","Oil / Canvas","207","4/1/19","0"
"47","Rafiee Ghani","THE THIEF'S GARDEN HAS NO BUTTERFLIES",12010,1,8970,11530,"Signed and Dated",214,183,39162,"2018","Oil / Canvas","208","4/1/19","0"
"48","Arin Dwihartanto Sunaryo","VOLCANIC ASH SERIES #5",38430,1,23060,32030,"Signed and Dated",173,146,25258,"2012","Merapi volcanic ash and pigmented resin mounted on wooden panel","211","4/1/19","0"
"49","Suzlee Ibrahim","MIDNIGHT SUMMERS NO.1",9610,1,8970,11530,"Signed and Dated",152,182,27664,"2017-18","Oil and acrylic / Canvas","214","4/1/19","0"
"50","Jigger Cruz","COUNTERBALANCE",41630,1,17930,30740,"Signed and Dated",106,146,15476,"2013","Oil / Canvas","215","4/1/19","0"
"51","Walasse Ting","VENUS UNDER GOLDEN RAIN",76860,1,61490,87110,"Signed and Dated",145,212,30740,"1969","Acrylic / Canvas","216","4/1/19","0"
"52","Rafiee Ghani","CHASING THE WAVES",NA,0,7690,11530,"Signed and Dated",182.5,122,22265,"2016","Oil / Canvas","217","4/1/19","0"
"53","Marina Cruz","WHEN WE WERE TEN YEARS OLD ¨C ELISA AND LAURA (DIPTYCH)",60850,1,20500,32030,"Signed and Dated",NA,NA,NA,"2012","Oil / Canvas","218","4/1/19","0"
"54","Niti Wattuya","SELF PORTRAIT BLUE",640,1,3330,5760,"Signed and Dated",80,70,5600,"2005","Acrylic / Canvas","221","4/1/19","0"
"55","Ismail Alwi","TREE OF LIFE",4803,1,5120,7690,"Signed and Dated",152,121.5,18468,"2018","Oil and acrylic / Canvas","222","4/1/19","0"
"56","Thaweesak Srithongdee","LING",320,1,2562,5120,NA,90,60,5400,NA,"Acrylic / Canvas","223","4/1/19","0"
"57","Jigger Cruz","UNTITLED",30420,1,8970,11530,NA,122,122,14884,NA,"Oil / Canvas","225","4/1/19","0"
"58","Agus Triyanto","TIME TRAVELER",19220,1,7690,11530,"Signed and Dated",160,220,35200,"2018","Oil / Canvas","227","4/1/19","0"
"59","Rolando Ventura","CAPTAIN AMERICA",27220,1,11530,19220,"Signed and Dated",152,214,32528,"2015","Acrylic / Canvas","228","4/1/19","0"
"60","S Dwi Setyo","GREEN HOUSE",11210,1,5760,8330,"Signed and Dated",180,180,32400,"2019","Oil / Canvas","231","4/1/19","0"
"61","Galam Zulkifli","UNTITLED",NA,0,2562,3843,"Signed and Dated",200,140,28000,"2004","Acrylic / Canvas","232","4/1/19","0"
"62","Mariam Sofrina","JALAN MERDEKA",16010,1,4483,7050,"Signed and Dated",80,135,10800,"2010","Oil / Canvas","233","4/1/19","0"
"63","M Irfan","LAST TRAIN WITH COLOUR",NA,0,10250,15370,"Signed and Dated",200,300,60000,"2016","Acrylic / Canvas","235","4/1/19","0"
"64","Ronald Ventura","UNTITLED (BEAR)",32030,1,20500,32030,"Signed and Dated",40,30,1200,"2015","Oil / Canvas","238","4/1/19","0"
"65","Ahmad Zakii Anwar","UNTITLED II",6410,1,5120,7690,"Signed and Dated",67,200,13400,"2004","Acrylic / Canvas","240","4/1/19","0"
"66","Gywe U Lun","WATERFALL AND LADIES",NA,0,10250,15370,"Signed",41,50,2050,NA,"Acrylic / Board","243","4/1/19","0"
"67","Zaw Aung","MONK AND HELPER",2401,1,1921,2562,"Signed and Dated",131,74,9694,"2003","Oil / Canvas","245","4/1/19","0"
"68","Wae Aung Min","WOMEN AND CHILDREN",9610,1,7690,11530,"Signed and Dated",100,128,12800,"1995","Acrylic / Canvas","246","4/1/19","0"
"69","Gywe U Lun","SEASHORE",13610,1,10250,19220,"Signed and Dated",75.5,107,8078.5,"1995","Acrylic / Canvas","247","4/1/19","0"
"70","Saw Maung","TENDING BUFFALOES",NA,0,19220,25620,"Signed and Dated",50,61,3050,"1965","Oil / Board","248","4/1/19","0"
"71","Ngwe Gaing","GREAT SHWEDAGON PAGODA",41630,1,33310,48680,"Signed and Dated",61,51,3111,"1962","Oil / Canvas","250","4/1/19","0"
"72","U San Win","SHWEDAGON PAGODA",16010,1,15370,23060,"Signed",32.5,48,1560,NA,"Oil / Canvas","251","4/1/19","0"
"73","U San Win","GATEWAY TO MANDALAY",28820,1,23060,32030,"Signed and Dated",30,43,1290,"1963","Oil / Canvas","252","4/1/19","0"
"74","U Ba Thet","SUNSET AT THE RIVER",NA,0,8970,11530,"Signed",30,40,1200,NA,"Oil / Canvas on board","253","4/1/19","0"
"75","Harry Aung","SWEET SIXTEEN",NA,0,3843,6410,"Signed",71.5,56,4004,NA,"Oil / Canvas","255","4/1/19","0"
"76","Ngwe Gaing","MAUNG MAGAN BEACH, SOUTH OF MYANMAR, DAWEI",17610,1,12810,19220,"Signed",46,61,2806,NA,"Oil / Board","256","4/1/19","0"
"77","U Thein Nyunt","FISHING BOAT",NA,0,6410,8970,"Signed and Dated",53,71,3763,"1972","Oil / Canvas","257","4/1/19","0"
"78","Min Lu","SHWEDAGON II",NA,0,2562,3843,"Signed and Dated",76.5,91.5,6999.75,"2001","Oil / Canvas","258","4/1/19","0"
"79","Zaw Min","ENTRANCE OF MYATHEINTAN",2882,1,2562,3843,"Signed and Dated",92,122,11224,"2001","Acrylic / Canvas","259","4/1/19","0"
"80","Moat Thone","BUDDHA AND BODHI TREE 1",5120,1,3202,4483,"Signed and Dated",180,151.5,27270,"2005","Oil / Canvas","260","4/1/19","0"
"81","Zaw Win Pe","MOUNTAIN",NA,0,3202,4483,"Signed and Dated",46,61,2806,"2002","Oil / Canvas","261","4/1/19","0"
"82","Chan Su Nyein","LANDSCAPE",NA,0,2562,3843,"Signed and Dated",91.5,121.5,11117.25,"2002","Acrylic / Canvas","262","4/1/19","0"
"83","Khine Ba","KAUNGHMUDAW",NA,0,2562,3843,"Signed and Dated",123.5,93,11485.5,"2002","Oil / Canvas","263","4/1/19","0"
"84","Vu Cao Dam","JEUNE FILLE ? LA ROBE BLEU (GIRL IN THE BLUE DRESS)",15210,1,7690,11530,"Signed",41,27,1107,NA,"Oil on wood panel","267","4/1/19","0"
"85","Vu Cao Dam","DIVINITY",14410,1,5120,7690,"Signed and Dated",33,24,792,"1979","Oil / Canvas","268","4/1/19","0"
"86","Vu Cao Dam","LE RETOUR (THE RETURN)",72060,1,23060,35870,"Signed and Dated",92.5,73.5,6798.75,"1964","Oil / Canvas","269","4/1/19","0"
"87","Le Pho","IN THE GARDEN",67250,1,28180,44840,"Signed",86.5,69.5,6011.75,NA,"Oil and silk laid on board","270","4/1/19","0"
"88","Le Pho","FEMMES DANS UN JARDIN (WOMEN IN A GARDEN)",60850,1,38430,64050,"Signed",90,116.5,10485,NA,"Oil / Canvas","271","4/1/19","0"
"89","Le Pho","LE BAIGNADE (THE BATHING)",80060,1,35870,70460,"Signed",97.5,130,12675,NA,"Oil / Canvas","272","4/1/19","0"
"90","Le Pho","UNE NATURE MORTE AUX FLEURS (A STILL LIFE WITH FLOWERS)",16010,1,7690,10250,"Signed",46.5,33.5,1557.75,NA,"Oil / Canvas","273","4/1/19","0"
"91","Le Pho","DELPHINIUMS",96080,1,35870,70460,"Signed",97.5,130.5,12723.75,NA,"Oil / Canvas","274","4/1/19","0"
"92","Van Ha Tran","STORK AND BAMBOO",8010,1,7690,11530,"Signed",61,122.5,7472.5,NA,"Lacquer / Wood","279","4/1/19","0"
"93","Truong Van Thanh","GOLDFISH",22420,1,7690,11530,"Signed and Dated",60,100,6000,"1953","Lacquer / Board","281","4/1/19","0"
"94","Alix Ayme","FEMMES DANS LA FOR?T (WOMEN IN THE FOREST)",152120,1,30740,44840,"Signed",150,200,30000,NA,"Lacquer / Wood","286","4/1/19","0"
"95","Van Tho Tran","FESTIVAL DAY",NA,0,7690,11530,"Signed",49.5,69,3415.5,"c. 1950's","Lacquer / Wood","288","4/1/19","0"
"96","Alix Ayme","LISEUSE ? C?T? DE L'ANNAMITE (GIRL READING NEXT TO THE ANNAMITE MOUNTAINS)",32030,1,20500,33310,"Signed",46,70,3220,"c. 1930-40","Lacquer on wood panel","289","4/1/19","0"
"97","Henri Mege","COUNTRY LANDSCAPE NEAR HUE",15210,1,11530,15370,"Signed",60.5,73,4416.5,"c. 1950","Oil / Canvas","290","4/1/19","0"
"98","Pham Hau","WATER POND IN A VIETNAMESE VILLAGE SCENE",25620,1,15370,23060,"Stamped",46,23.5,1081,"c. 1939-40's","Lacquer and gold powder pigment on wooden box","292","4/1/19","0"
"99","Pham Hau","L'ENTR?E DU VILLAGE (THE GATE OF THE VILLAGE)",76860,1,30740,48680,"Signed",121.5,54,6561,NA,"Lacquer / Wood","295","4/1/19","0"
"100","Nam Nguyen","STILL LIFE",112090,1,12810,19220,"Signed",40.5,52,2106,"1922","Oil / Canvas","299","4/1/19","0"
"101","Vu Cao Dam","MATERNIT? (MATERNITY)",44840,1,17930,32030,"Signed and Dated",55,38.5,2117.5,"1957","Oil / Panel","307","4/1/19","0"
"102","Le Pho","LE VIEUX P?CHER (THE OLD PEACH TREE)",432340,1,76860,115290,"Signed",140,70,9800,"1956","Oil / Canvas","308","4/1/19","0"
"103","Le Pho","CUEILLIR DES FLEURS (PICKING FLOWERS)",112090,1,38430,64050,"Signed",114.5,146.5,16774.25,NA,"Oil / Canvas","309","4/1/19","0"
"104","Le Pho","LA T?T?E PASTORALE (PASTORAL FEEDING)",128100,1,44840,70460,"Signed",98,131,12838,NA,"Oil / Canvas","310","4/1/19","0"
"105","Joseph Inguimberty","LES TROIS CITRONS (THE THREE LEMONS)",80060,1,17930,32030,"Signed",60,73,4380,NA,"Oil / Canvas","311","4/1/19","0"
"106","Le Pho","LES ROSES TR?MI?RES ET DAHLIAS",32030,1,12810,19220,"Signed",46,26.5,1219,NA,"Oil on silk laid on board","312","4/1/19","0"
"107","Le Pho","LES PAVOTS (POPPIES)",51240,1,20500,32030,"Signed",92,65.5,6026,NA,"Oil / Canvas","313","4/1/19","0"
"108","Henri Mege","MATIN DE JUILLIET ? FOURNEY (SAVOIE) VALL?E DU BOURGET (JULY MORNING AT FOURNEY (SAVOIE) BOURGET VALLEY)",2401,1,2562,3843,"Signed and Dated",24,33,792,"1959","Oil / Board","314","4/1/19","0"
"109","Henri Mege","PAYSAGE (LANDSCAPE)",3522,1,2562,3843,"Signed",25.5,35.5,905.25,NA,"Oil on wood panel","315","4/1/19","0"
"110","Joseph Inguimberty","PAYSAGE EUROP?EN (EUROPEAN LANDSCAPE)",12010,1,7690,11530,"Signed",65,100,6500,NA,"Oil / Canvas","317","4/1/19","0"
"111","Joseph Inguimberty","WORKERS IN THE RICE FIELD",20820,1,6410,8970,"Signed",54.5,45.5,2479.75,NA,"Oil / Canvas","318","4/1/19","0"
"112","Nguyen TriMinh","LES JONQUES DE P?CHE (FISHING JUNKS)",NA,0,5120,7690,"Signed and Dated",40,73,2920,"1966","Oil / Canvas","319","4/1/19","0"
"113","Truong Thi Thinh","MEMORY OF HUE, LANDSCAPE WITH A LOTUS POND",6410,1,5120,7690,"Signed",51,98.5,5023.5,"c. 1960-70","Oil / Canvas","320","4/1/19","0"
"114","Nam Nguyen","SUNSET ON TR?M MOUNTAIN (S?I SON)",60850,1,12810,19220,"Signed",65,80,5200,"1943","Oil / Canvas","321","4/1/19","0"
"115","Nguyen TriMinh","MARKET SCENE UNDER THE GREAT BANYAN",4003,1,3843,6410,"Signed",29.5,39.5,1165.25,NA,"Oil / Board","322","4/1/19","0"
"116","Henri Mege","(I) EVENING AT THANH DA NEAR THI NGHE, SAIGON (II) AFTERNOON IN THE RIVER OF PERFUME, HUE (III) LANDSCAPE OF ANNAM (3)",NA,0,5120,7690,"Signed and Dated",NA,NA,NA,"1953","Oil / Board","323","4/1/19","0"
"117","Tran Binh Loc","A GARDEN SCENE OF A TEMPLE",88070,1,15370,23060,"Signed and Dated",65,100,6500,"1936","Oil / Canvas","325","4/1/19","0"
"118","Tran Van Giau","MARKET SCENE OF SAIGON IN THE 1960'S",4803,1,1921,3202,"Signed",33.5,43.5,1457.25,"c. 1960's","Oil / Board","329","4/1/19","0"
"119","Tran Van Giau","COUNTRY SCENE WITH A VILLAGE BRIDGE",1601,1,1921,3202,"Signed",34,43,1462,"c. 1960's","Oil / Board","330","4/1/19","0"
"120","Louis Jules Dumoulin","SCENE OF A TRADITIONAL CHINESE TOWN",6410,1,1921,3202,NA,63.5,47.5,3016.25,NA,"Oil / Board","331","4/1/19","0"
"121","Louis Jules Dumoulin","A JAPANESE LADY DESCENDING STAIRS",16010,1,1921,3202,NA,65,50,3250,"c. 1890's","Oil / Canvas","332","4/1/19","0"
"122","Xuan Phai Bui","(I) TOWN SCENE (II) BUILDINGS WITH RICKSHAW (2)",9610,1,5760,7050,"Signed",NA,NA,NA,NA,"Oil / Board","333","4/1/19","0"
"123","Xuan Phai Bui","(I) NUDE (II) AN ARTIST PAINTING A NUDE FIGURE (2)",12810,1,3843,5120,NA,NA,NA,NA,NA,"Paper","334","4/1/19","0"
"124","Liu Kang","LAKE IN CHINA",24020,1,19220,25620,"Signed and Dated",70,53,3710,"1975","Oil / Canvas","343","4/1/19","0"
"125","Soo Pieng Cheong","PADI FIELDS",44840,1,23060,35870,"Signed and Dated",35,43,1505,"1954","Oil on canvas mounted on card","345","4/1/19","0"
"126","Ng Eng Teng","THE OLD AND NEW DRESS OF THE MALAYSIAN LADY",4803,1,5120,7690,"Signed and Dated",87,50.5,4393.5,"1960","Oil / Canvas","346","4/1/19","0"
"127","Nang Lim","(I) MALAY WOMAN SITTING, HEAD IN HAND (II) MALAY WOMAN SITTING, STRAW HAT UNDER LEFT ARM (pair)",NA,0,2562,3843,"Signed and Dated",NA,NA,NA,NA,"Copper","347","4/1/19","0"
"128","Yu Chian Chia","TIN MINE",25620,1,15370,23060,"Signed and Dated",60.5,91,5505.5,"1958","Oil / Board","348","4/1/19","0"
"129","Wee Shoo Leong","URN WITH FRUITS",4803,1,5120,7690,"Signed and Dated",57.5,68.5,3938.75,"1991","Oil / Canvas","349","4/1/19","0"
"130","Choo Keng Kwang","PEACE",10410,1,5120,7690,"Signed and Dated",90,120,10800,"1994","Oil / Canvas","350","4/1/19","0"
"131","Tay Bak Koi","GOLDEN HARMONY",80060,1,23060,32030,"Signed",139,191,26549,"1999","Oil / Canvas","351","4/1/19","0"
"132","Choh Tan","ROADSIDE STALL",10410,1,3843,6410,"Signed and Dated",53,72.5,3842.5,"1991","Oil / Canvas","352","4/1/19","0"
"133","Tay Bak Koi","SINGAPORE FISHING VILLAGE",9610,1,7690,11530,"Signed and Dated",59,84.5,4985.5,"1965","Oil / Canvas","353","4/1/19","0"
"134","Fernando Cueto Amorsolo","FISHERMAN BOAT AT SUNSET",25620,1,20500,32030,"Signed and Dated",25,40.5,1012.5,"1956","Oil / Canvas on board","361","4/1/19","0"
"135","Fernando Cueto Amorsolo","IN THE FIELD",25620,1,17930,28180,"Signed and Dated",22,30,660,"1955","Oil / Canvas on board","362","4/1/19","0"
"136","Fernando Cueto Amorsolo","WOMAN WITH BASKET AND FRUITS",304240,1,25620,38430,"Signed and Dated",43,33,1419,"1936","Oil / Canvas on board","363","4/1/19","0"
"137","Mauro Malang Santos","NUDE",56040,1,8970,11530,"Signed and Dated",102,76.5,7803,"1977","Acrylic on wood panel","364","4/1/19","0"
"138","Federico Aguilar Alcuaz","Untitled",NA,0,6410,8970,"Signed and Dated",35,27,945,"1981","Oil / Board","366","4/1/19","0"
"139","Dato Fatimah","STANDING FORMS",9610,1,7690,11530,"Signed and Dated",120,100,12000,"2016","Acrylic / Canvas","367","4/1/19","0"
"140","Soo Pieng Cheong","PROGRESS",64050,1,57650,87110,"Signed and Dated",84,84,7056,"1976","Oil / Canvas","369","4/1/19","0"
"141","Theo Meier","PORTRAIT OF LEIAD",NA,0,8970,11530,"Signed and Dated",72,58,4176,"1978","Oil / Canvas","370","4/1/19","0"
"142","Roland Strasser","BALI GIRL WITH FRUITS",16010,1,17930,28180,"Signed",75,55,4125,NA,"Oil / Canvas","371","4/1/19","0"
"143","Theo Meier","YOUNG BALINESE WOMAN HOLDING A JUG ON HER HEAD",28820,1,15370,23060,"Signed",70.5,60.5,4265.25,NA,"Oil / Canvas","372","4/1/19","0"
"144","Arie Smit","RED TEMPLE IN BALI",240190,1,64050,89670,"Signed and Dated",89,69,6141,"1980","Acrylic / Canvas","373","4/1/19","0"
"145","Arie Smit","PASSING THE TEMPLE",8810,1,5120,7690,"Signed and Dated",30,36,1080,"2002","Acrylic / Canvas","374","4/1/19","0"
"146","Arie Smit","RED TEMPLE PAINTED IN SANUR",9610,1,8970,11530,"Signed and Dated",33.5,43,1440.5,"1983","Acrylic / Board","376","4/1/19","0"
"147","Saraochim Salim","ETANG (POND)",NA,0,5120,7690,"Signed and Dated",55,46,2530,"1974","Oil / Canvas","379","4/1/19","0"
"148","Mochtar Apin","HOUSES",14410,1,7050,9610,"Signed and Dated",50,66,3300,"1959","Oil / Canvas","380","4/1/19","0"
"149","Fajar Siddik","UNTITLED",9610,1,5120,7690,"Signed and Dated",107,77,8239,"1974","Oil / Canvas","381","4/1/19","0"
"150","Abdul Djalil Pirous","Untitled",6410,1,5120,7690,"Signed and Dated",79,99,7821,"1969","Oil / Canvas","382","4/1/19","0"
"151","Popo Iskandar","LANDSCAPE",NA,0,5120,7690,"Signed and Dated",95,100,9500,"1974","Oil / Canvas","383","4/1/19","0"
"152","Popo Iskandar","JALA-JALA PANTAI (SHORE FISHING NET)",9610,1,7050,9610,"Signed and Dated",98,92.5,9065,"1972","Oil / Canvas","386","4/1/19","0"
"153","Zaini","UNTITLED",4803,1,3843,6410,"Signed and Dated",95,65,6175,"1976","Oil / Canvas","387","4/1/19","0"
"154","Abdul Djalil Pirous","LEMBAH TAMAN SARI",5120,1,4099,7050,"Signed and Dated",54,50.5,2727,"1968","Oil / Board","389","4/1/19","0"
"155","But Mochtar","TWO WOMEN",44840,1,33310,57650,"Signed and Dated",137.5,44.5,6118.75,"1963","Oil / Canvas","390","4/1/19","0"
"156","Jeihan Sukmantara","SUTI",3202,1,2562,5120,"Signed and Dated",150,140,21000,"2005","Oil / Canvas","391","4/1/19","0"
"157","Mochtar Apin","HABITANT DE SUMATRA ORIENTAL SUR UNE CHAISE (INHABITANT OF EAST SUMATRA ON A CHAIR)",7210,1,3843,6410,"Signed and Dated",38.5,20.5,789.25,"1951","Oil / Board","392","4/1/19","0"
"158","Shrihadi Soedarsono","BEDHOYO KETAWANG - SPIRITUAL DIALOGUE",51240,1,17930,28180,"Signed and Dated",90,62,5580,"2005","Oil / Canvas","393","4/1/19","0"
"159","I Nyoman Gunarsa","PENARI (DANCER)",5600,1,5120,7690,NA,145,145.5,21097.5,"1996","Oil / Canvas","394","4/1/19","0"
"160","Rusli","FESTIVAL",8010,1,6410,8970,"Signed and Dated",60,75,4500,"1976","Oil / Canvas","395","4/1/19","0"
"161","Djoko Pekek","SAVING MONEY",NA,0,5120,7690,"Signed and Dated",97,79.5,7711.5,"1995","Oil / Canvas","396","4/1/19","0"
"162","Arifien Neif","JEMBATAN RIALTO, VENESIA (RIALTO BRIDGE, VENICE)",9610,1,3843,6410,"Signed and Dated",60,70,4200,"1998","Oil / Canvas","397","4/1/19","0"
"163","Sudjana Kerton","HARVEST",256200,1,70460,96080,"Signed and Dated",69,133.5,9211.5,"1983","Oil / Canvas","398","4/1/19","0"
"164","Shrihadi Soedarsono","BEDHOYO KETAWANG",30420,1,15370,23060,"Signed and Dated",70,53,3710,"1999","Oil / Canvas","399","4/1/19","0"
"165","Shrihadi Soedarsono","BOROBODUR - STATE OF MEDITATION",56040,1,35870,44840,"Signed and Dated",81,100,8100,"2007","Oil / Canvas","400","4/1/19","0"
"166","Shrihadi Soedarsono","JANGER: GELORA REMAJA",80060,1,64050,89670,"Signed and Dated",145,180,26100,"2001","Oil / Canvas","401","4/1/19","0"
"167","Haji Widayat","GOING HOME",8810,1,5120,7690,"Signed and Dated",38.5,49.5,1905.75,"1976","Oil / Canvas","402","4/1/19","0"
