artist,title,online_dummy,sales_dollar,dummy_sold,low_estimate_dollar,high_estimate_dollar,signed,size_cm,edition,foundry,created,category,Medium,auction_lot,auction_date,auction_location
Gee Yun,"TANAKA MEMORIAL, JAPANESE IMPERIALIST DREAM",0,1252180,1,640500,1024800,Signed and Dated,121.00cm x 102.00cm,,,1932,Paintings,Oil / Wood,1023,3/31/19,Sotheby's Hong Kong
Gee Yun,RIGHT ROUTE TO FREEDOM,0,2174500,1,1024800,1537200,Signed,94.00cm x 101.50cm,,,1947,Paintings,Oil / Canvas,1024,3/31/19,Sotheby's Hong Kong
Gee Yun,ADAM AND EVE,0,867880,1,256200,384300,Unavailable,80.60cm x 64.80cm,,,,Paintings,Oil / Canvas,1025,3/31/19,Sotheby's Hong Kong
Wou-Ki Zao,UNTITLED,0,14855240,1,7686000,10248000,Signed and Dated,114.30cm x 162.60cm,,,1958,Paintings,Oil / Canvas,1026,3/31/19,Sotheby's Hong Kong
Wou-Ki Zao,VILLAGE DE MONTAGNE SE DISPERSENT,0,2328220,1,1921500,3202500,Signed and Dated,73.00cm x 92.00cm,,,1954,Paintings,Oil / Canvas,1027,3/31/19,Sotheby's Hong Kong
Wou-Ki Zao,17.12.60,0,7559950,1,5124000,7686000,Signed and Dated,160.50cm x 130.00cm,,,1960,Paintings,Oil / Canvas,1028,3/31/19,Sotheby's Hong Kong
Wou-Ki Zao,15.02.65,0,13104370,1,8967000,12810000,Signed and Dated,97.00cm x 195.00cm,,,1965,Paintings,Oil / Canvas,1029,3/31/19,Sotheby's Hong Kong
Wou-Ki Zao,19.01.61,0,10186260,1,7686000,10248000,Signed and Dated,113.60cm x 161.90cm,,,1961,Paintings,Oil / Canvas,1030,3/31/19,Sotheby's Hong Kong
Wou-Ki Zao,10.01.86,0,8289480,1,3202500,4483500,Signed and Dated,195.00cm x 130.00cm,,,1986,Paintings,Oil / Canvas,1031,3/31/19,Sotheby's Hong Kong
Pang Jiun,A THOUSAND SAILS ON THE SPRING TIDE,0,791020,1,448350,768600,Signed and Dated,200.00cm x 750.00cm,,,2018,Paintings,Oil / Canvas,1033,3/31/19,Sotheby's Hong Kong
Georges Mathieu,LA PASSION RETROUVÉE,0,480380,1,153720,358680,Signed and Dated,97.00cm x 162.00cm,,,1976,Paintings,Oil / Canvas,1034,3/31/19,Sotheby's Hong Kong
Richard Lin,PAINTING FEBRUARY 1967,0,480380,1,333060,640500,Signed and Dated,102.00cm x 102.00cm,,,1967,Mixed Media,Mixed Media / Canvas,1035,3/31/19,Sotheby's Hong Kong
Chin Hsiao,INNER LIGHT,0,272210,1,102480,204960,Signed and Dated,102.00cm x 133.00cm,,,1966,Paintings,Acrylic / Canvas,1036,3/31/19,Sotheby's Hong Kong
Enrico Castellani,SUPERFICIE BIANCA,0,256200,1,192150,358680,Signed and Dated,100.00cm x 100.00cm,,,1985,Paintings,Acrylic on shaped canvas,1037,3/31/19,Sotheby's Hong Kong
Lalan,LA LUNE EST VOILÉE,0,867880,1,192150,384300,Signed and Dated,130.00cm x 195.00cm,,,1974,Paintings,Oil / Canvas,1038,3/31/19,Sotheby's Hong Kong
Sophie Chang,LEANING BEAUTY,0,416330,1,128100,256200,Signed and Dated,90.00cm x 250.00cm,,,2018,Paintings,Oil / Canvas,1039,3/31/19,Sotheby's Hong Kong
Sophie Chang,SAMANTABHADRA,0,160130,1,38430,64050,Signed and Dated,72.50cm x 91.00cm,,,2018,Paintings,Oil / Canvas,1040,3/31/19,Sotheby's Hong Kong
Mai Trung Thu,L'HEURE DU THÉ (TEA TIME),0,120090,1,64050,89670,Signed and Dated,46.50cm x 28.00cm,,,1943,Works on Paper,Ink and gouache / Silk,1101,3/31/19,Sotheby's Hong Kong
Phan Chanh Nguyen,RICE PLANTERS,0,136110,1,64050,89670,Signed and Dated,52.00cm x 72.00cm,,,1958,Works on Paper,Ink and gouache / Silk,1102,3/31/19,Sotheby's Hong Kong
Pham Hau,NINE CARPS IN THE WATER (IN FOUR PARTS),0,883250,1,256200,384300,Signed,180.00cm x 198.00cm,,,c. 1939-40,Paintings,Lacquer on wood panel,1103,3/31/19,Sotheby's Hong Kong
Adrien Jean Le Mayeur de Merpres,TWO WOMEN SHADED BY AN UMBRELLA,0,1175320,1,512400,768600,Signed,75.00cm x 90.50cm,,,,Paintings,Oil / Canvas,1104,3/31/19,Sotheby's Hong Kong
Adrien Jean Le Mayeur de Merpres,FESTIVAL,0,1252180,1,640500,896700,Signed,90.50cm x 120.50cm,,,,Paintings,Oil / Canvas,1105,3/31/19,Sotheby's Hong Kong
Adrien Jean Le Mayeur de Merpres,LE TABLEAU CHINOIS,0,1329040,1,384300,640500,Signed,76.00cm x 91.00cm,,,,Paintings,Oil / Canvas,1106,3/31/19,Sotheby's Hong Kong
Romualdo Battista Federico Locatelli,PORTRAIT OF A GIRL,0,668040,1,192150,320250,Signed and Dated,88.00cm x 58.00cm,,,1939,Paintings,Oil / Canvas,1107,3/31/19,Sotheby's Hong Kong
Manfong Lee,DOVES,0,1636480,1,384300,640500,Signed,122.00cm x 244.00cm,,,,Paintings,Oil / Masonite,1108,3/31/19,Sotheby's Hong Kong
Manfong Lee,BALI LIFE (ESTIMATE UPON REQUEST),0,3711700,1,,,Signed,81.50cm x 182.00cm,,,,Paintings,Oil / Masonite,1109,3/31/19,Sotheby's Hong Kong
Kusama Affandi,BARONG,0,384300,1,230580,358680,Signed and Dated,100.50cm x 160.00cm,,,1980,Paintings,Oil / Canvas,1110,3/31/19,Sotheby's Hong Kong
Kusama Affandi,SELF PORTRAIT,0,256200,1,230580,358680,Signed and Dated,127.50cm x 96.50cm,,,1977,Paintings,Oil / Canvas,1111,3/31/19,Sotheby's Hong Kong
Hendra Gunawan,WOMEN AND CHILDREN BY THE BEACH (ESTIMATE UPON REQUEST),0,1405900,1,,,Signed,139.00cm x 194.50cm,,,,Paintings,Oil on canvas mounted on wood panel / Canvas,1112,3/31/19,Sotheby's Hong Kong
Soo Pieng Cheong,ABSTRACT 1963,0,,0,153720,230580,Signed and Dated,64.50cm x 84.50cm,,,1963,Paintings,Oil / Board,1113,3/31/19,Sotheby's Hong Kong
Jane Lee,DÉJÀ VU (IN MULTIPLE PARTS),0,136110,1,79420,108890,Unavailable,,,,2013,Mixed Media,Acrylicmixed media and epoxy on canvas,1115,3/31/19,Sotheby's Hong Kong
Ronald Ventura,BANG,0,320250,1,256200,384300,Signed and Dated,182.50cm x 152.00cm,,,2017,Paintings,Oil / Canvas,1116,3/31/19,Sotheby's Hong Kong
Inyoman Masriadi,I HAVE BALL,0,272210,1,204960,358680,Signed and Dated,300.00cm x 200.00cm,,,2016,Paintings,Acrylic / Canvas,1117,3/31/19,Sotheby's Hong Kong
Walasse Ting,PORTRAIT OF A WOMAN,0,6730,1,3843,6410,Stamped,51.00cm x 70.50cm,,,,Paintings,Acrylic / Paper,201,4/1/19,Sotheby's Hong Kong
Walasse Ting,MY NEON CUNT,0,4803,1,3843,6410,Signed and Dated,70.50cm x 96.00cm,,,2006,Mixed Media,Mixed Media / Paper,202,4/1/19,Sotheby's Hong Kong
Walasse Ting,THREE WOMEN,0,16010,1,12810,19220,Stamped,177.00cm x 96.00cm,,,,Paintings,Acrylic / Paper,203,4/1/19,Sotheby's Hong Kong
Pacita Abad,OBSESSION,0,17610,1,5120,7690,Signed and Dated,91.50cm x 87.50cm,,,1996,Mixed Media,"Oilacrylic, painted canvas stitched on canvas",205,4/1/19,Sotheby's Hong Kong
Jigger Cruz,UNTITLED (2),0,35230,1,10250,19220,Unavailable,,,,,Mixed Media,Mixed Media / Canvas,206,4/1/19,Sotheby's Hong Kong
Raduan Man,A KISS GOODNIGHT,0,4803,1,5120,7690,Signed and Dated,203.00cm x 203.00cm,,,2018,Paintings,Oil / Canvas,207,4/1/19,Sotheby's Hong Kong
Rafiee Ghani,THE THIEF'S GARDEN HAS NO BUTTERFLIES,0,12010,1,8970,11530,Signed and Dated,214.00cm x 183.00cm,,,2018,Paintings,Oil / Canvas,208,4/1/19,Sotheby's Hong Kong
Ruben Pang,INSURMOUNTABLE DEFENCES,0,,0,5120,7690,Unavailable,75.00cm x 60.00cm,,,,Works on Paper,Oilalkyd and retouching varnish on aluminium composite panel,209,4/1/19,Sotheby's Hong Kong
Niti Wattuya,(I) THE ORIENTAL SOUL (II) THE ORIENTAL SOUL (2),0,3042,1,2562,3843,Signed and Dated,,,,1990,Works on Paper,Watercolor / Paper,210,4/1/19,Sotheby's Hong Kong
Arin Dwihartanto Sunaryo,VOLCANIC ASH SERIES #5,0,38430,1,23060,32030,Signed and Dated,173.00cm x 146.00cm,,,2012,Paintings,Merapi volcanic ash and pigmented resin mounted on wooden panel,211,4/1/19,Sotheby's Hong Kong
Nasirun,ABSTRAKSI RUANG (ABSTRACTION OF SPACE),0,8010,1,7690,11530,Signed and Dated,145.00cm x 140.00cm,,,2015,Mixed Media,Mixed Media / Canvas,212,4/1/19,Sotheby's Hong Kong
AY T Joe Christine,TUKANG SIHIR (THE WITCH),0,,0,38430,64050,Signed,96.50cm x 69.50cm,,,2001,Mixed Media,Mixed Media / Canvas,213,4/1/19,Sotheby's Hong Kong
Suzlee Ibrahim,MIDNIGHT SUMMERS NO.1,0,9610,1,8970,11530,Signed and Dated,152.00cm x 182.00cm,,,2017-18,Paintings,Oil and acrylic / Canvas,214,4/1/19,Sotheby's Hong Kong
Jigger Cruz,COUNTERBALANCE,0,41630,1,17930,30740,Signed and Dated,106.00cm x 146.00cm,,,2013,Paintings,Oil / Canvas,215,4/1/19,Sotheby's Hong Kong
Walasse Ting,VENUS UNDER GOLDEN RAIN,0,76860,1,61490,87110,Signed and Dated,145.00cm x 212.00cm,,,1969,Paintings,Acrylic / Canvas,216,4/1/19,Sotheby's Hong Kong
Rafiee Ghani,CHASING THE WAVES,0,,0,7690,11530,Signed and Dated,182.50cm x 122.00cm,,,2016,Paintings,Oil / Canvas,217,4/1/19,Sotheby's Hong Kong
Marina Cruz,WHEN WE WERE TEN YEARS OLD – ELISA AND LAURA (DIPTYCH),0,60850,1,20500,32030,Signed and Dated,,,,2012,Paintings,Oil / Canvas,218,4/1/19,Sotheby's Hong Kong
Jose Legaspi,UNTITLED,0,11210,1,8970,11530,Signed,100.00cm x 70.00cm,,,,Mixed Media,Mixed Media / Paper,220,4/1/19,Sotheby's Hong Kong
Niti Wattuya,SELF PORTRAIT BLUE,0,640,1,3330,5760,Signed and Dated,80.00cm x 70.00cm,,,2005,Paintings,Acrylic / Canvas,221,4/1/19,Sotheby's Hong Kong
Ismail Alwi,TREE OF LIFE,0,4803,1,5120,7690,Signed and Dated,152.00cm x 121.50cm,,,2018,Paintings,Oil and acrylic / Canvas,222,4/1/19,Sotheby's Hong Kong
Thaweesak Srithongdee,LING,0,320,1,2562,5120,Unavailable,90.00cm x 60.00cm,,,,Paintings,Acrylic / Canvas,223,4/1/19,Sotheby's Hong Kong
Jigger Cruz,UNTITLED,0,30420,1,8970,11530,Unavailable,122.00cm x 122.00cm,,,,Paintings,Oil / Canvas,225,4/1/19,Sotheby's Hong Kong
Eko Nugroho,TOPI UNTUK HARING (A HAT FOR HARING),0,,0,12810,19220,Signed and Dated,195.00cm x 112.00cm,,,2012,Other,Batik on cotton fabric,226,4/1/19,Sotheby's Hong Kong
Agus Triyanto,TIME TRAVELER,0,19220,1,7690,11530,Signed and Dated,160.00cm x 220.00cm,,,2018,Paintings,Oil / Canvas,227,4/1/19,Sotheby's Hong Kong
Rolando Ventura,CAPTAIN AMERICA,0,27220,1,11530,19220,Signed and Dated,152.00cm x 214.00cm,,,2015,Paintings,Acrylic / Canvas,228,4/1/19,Sotheby's Hong Kong
Vasan Sitthikhet,(I) M.R. KUKRIT PRAMOT (II) HO CHI MINH (pair),0,320,1,3843,6410,Signed and Dated,,,,2001,Mixed Media,Mixed Media / Paper,229,4/1/19,Sotheby's Hong Kong
S Dwi Setyo,GREEN HOUSE,0,11210,1,5760,8330,Signed and Dated,180.00cm x 180.00cm,,,2019,Paintings,Oil / Canvas,231,4/1/19,Sotheby's Hong Kong
Galam Zulkifli,UNTITLED,0,,0,2562,3843,Signed and Dated,200.00cm x 140.00cm,,,2004,Paintings,Acrylic / Canvas,232,4/1/19,Sotheby's Hong Kong
Mariam Sofrina,JALAN MERDEKA,0,16010,1,4483,7050,Signed and Dated,80.00cm x 135.00cm,,,2010,Paintings,Oil / Canvas,233,4/1/19,Sotheby's Hong Kong
M Irfan,LAST TRAIN WITH COLOUR,0,,0,10250,15370,Signed and Dated,200.00cm x 300.00cm,,,2016,Paintings,Acrylic / Canvas,235,4/1/19,Sotheby's Hong Kong
Ichwan Noor,BEETLE SPHERE,0,80060,1,64050,102480,Unavailable,180.00cm x 180.00cm,,,,Mixed Media,"Aluminium painted & original parts VW Beetle, colour: red",236,4/1/19,Sotheby's Hong Kong
Gabriel (Gabby) Barredo,SCREAMING CHIMES,0,20820,1,10250,19220,Unavailable,190.00cm x 150.00cm x 12.00cm,,,2008,Mixed Media,Mixed Media,237,4/1/19,Sotheby's Hong Kong
Ronald Ventura,UNTITLED (BEAR),0,32030,1,20500,32030,Signed and Dated,40.00cm x 30.00cm,,,2015,Paintings,Oil / Canvas,238,4/1/19,Sotheby's Hong Kong
AY T Joe Christine,PERJALANAN KERUMAH BAPA (JOURNEY TO FATHER’S HOME),0,48040,1,38430,64050,Signed,100.00cm x 90.00cm,,,,Mixed Media,Mixed Media / Canvas,239,4/1/19,Sotheby's Hong Kong
Ahmad Zakii Anwar,UNTITLED II,0,6410,1,5120,7690,Signed and Dated,67.00cm x 200.00cm,,,2004,Paintings,Acrylic / Canvas,240,4/1/19,Sotheby's Hong Kong
Sopheap Pich,DESERT PLANES NO. 1,0,41630,1,17930,28180,Unavailable,159.00cm x 122.00cm x 9.00cm,,,2014,Sculptures,"Bamboo, rattan, wire, burlap, plastics, oil based spray paint",242,4/1/19,Sotheby's Hong Kong
Gywe U Lun,WATERFALL AND LADIES,0,,0,10250,15370,Signed,41.00cm x 50.00cm,,,,Paintings,Acrylic / Board,243,4/1/19,Sotheby's Hong Kong
Zaw Aung,MONK AND HELPER,0,2401,1,1921,2562,Signed and Dated,131.00cm x 74.00cm,,,2003,Paintings,Oil / Canvas,245,4/1/19,Sotheby's Hong Kong
Wae Aung Min,WOMEN AND CHILDREN,0,9610,1,7690,11530,Signed and Dated,100.00cm x 128.00cm,,,1995,Paintings,Acrylic / Canvas,246,4/1/19,Sotheby's Hong Kong
Gywe U Lun,SEASHORE,0,13610,1,10250,19220,Signed and Dated,75.50cm x 107.00cm,,,1995,Paintings,Acrylic / Canvas,247,4/1/19,Sotheby's Hong Kong
Saw Maung,TENDING BUFFALOES,0,,0,19220,25620,Signed and Dated,50.00cm x 61.00cm,,,1965,Paintings,Oil / Board,248,4/1/19,Sotheby's Hong Kong
Wae Aung Min,FIGURES AND OX CARTS,0,,0,1921,3202,Signed and Dated,26.50cm x 35.50cm,,,1989,Works on Paper,Watercolor / Paper,249,4/1/19,Sotheby's Hong Kong
Ngwe Gaing,GREAT SHWEDAGON PAGODA,0,41630,1,33310,48680,Signed and Dated,61.00cm x 51.00cm,,,1962,Paintings,Oil / Canvas,250,4/1/19,Sotheby's Hong Kong
U San Win,SHWEDAGON PAGODA,0,16010,1,15370,23060,Signed,32.50cm x 48.00cm,,,,Paintings,Oil / Canvas,251,4/1/19,Sotheby's Hong Kong
U San Win,GATEWAY TO MANDALAY,0,28820,1,23060,32030,Signed and Dated,30.00cm x 43.00cm,,,1963,Paintings,Oil / Canvas,252,4/1/19,Sotheby's Hong Kong
U Ba Thet,SUNSET AT THE RIVER,0,,0,8970,11530,Signed,30.00cm x 40.00cm,,,,Paintings,Oil / Canvas on board,253,4/1/19,Sotheby's Hong Kong
Harry Aung,SWEET SIXTEEN,0,,0,3843,6410,Signed,71.50cm x 56.00cm,,,,Paintings,Oil / Canvas,255,4/1/19,Sotheby's Hong Kong
Ngwe Gaing,"MAUNG MAGAN BEACH, SOUTH OF MYANMAR, DAWEI",0,17610,1,12810,19220,Signed,46.00cm x 61.00cm,,,,Paintings,Oil / Board,256,4/1/19,Sotheby's Hong Kong
U Thein Nyunt,FISHING BOAT,0,,0,6410,8970,Signed and Dated,53.00cm x 71.00cm,,,1972,Paintings,Oil / Canvas,257,4/1/19,Sotheby's Hong Kong
Min Lu,SHWEDAGON II,0,,0,2562,3843,Signed and Dated,76.50cm x 91.50cm,,,2001,Paintings,Oil / Canvas,258,4/1/19,Sotheby's Hong Kong
Zaw Min,ENTRANCE OF MYATHEINTAN,0,2882,1,2562,3843,Signed and Dated,92.00cm x 122.00cm,,,2001,Paintings,Acrylic / Canvas,259,4/1/19,Sotheby's Hong Kong
Moat Thone,BUDDHA AND BODHI TREE 1,0,5120,1,3202,4483,Signed and Dated,180.00cm x 151.50cm,,,2005,Paintings,Oil / Canvas,260,4/1/19,Sotheby's Hong Kong
Zaw Win Pe,MOUNTAIN,0,,0,3202,4483,Signed and Dated,46.00cm x 61.00cm,,,2002,Paintings,Oil / Canvas,261,4/1/19,Sotheby's Hong Kong
Chan Su Nyein,LANDSCAPE,0,,0,2562,3843,Signed and Dated,91.50cm x 121.50cm,,,2002,Paintings,Acrylic / Canvas,262,4/1/19,Sotheby's Hong Kong
Khine Ba,KAUNGHMUDAW,0,,0,2562,3843,Signed and Dated,123.50cm x 93.00cm,,,2002,Paintings,Oil / Canvas,263,4/1/19,Sotheby's Hong Kong
Mai Trung Thu,JEUNE FEMME SE COIFFANT (YOUNG WOMAN STYLING),0,30420,1,12810,19220,Signed and Dated,21.00cm x 19.00cm,,,1958,Works on Paper,Ink and gouache / Silk,265,4/1/19,Sotheby's Hong Kong
Mai Trung Thu,L'ÉCRITURE (WRITING),0,41630,1,15370,23060,Signed and Dated,23.00cm x 23.00cm,,,1958,Works on Paper,Ink and gouache / Silk,266,4/1/19,Sotheby's Hong Kong
Vu Cao Dam,JEUNE FILLE À LA ROBE BLEU (GIRL IN THE BLUE DRESS),0,15210,1,7690,11530,Signed,41.00cm x 27.00cm,,,,Paintings,Oil on wood panel,267,4/1/19,Sotheby's Hong Kong
Vu Cao Dam,DIVINITY,0,14410,1,5120,7690,Signed and Dated,33.00cm x 24.00cm,,,1979,Paintings,Oil / Canvas,268,4/1/19,Sotheby's Hong Kong
Vu Cao Dam,LE RETOUR (THE RETURN),0,72060,1,23060,35870,Signed and Dated,92.50cm x 73.50cm,,,1964,Paintings,Oil / Canvas,269,4/1/19,Sotheby's Hong Kong
Le Pho,IN THE GARDEN,0,67250,1,28180,44840,Signed,86.50cm x 69.50cm,,,,Paintings,Oil and silk laid on board,270,4/1/19,Sotheby's Hong Kong
Le Pho,FEMMES DANS UN JARDIN (WOMEN IN A GARDEN),0,60850,1,38430,64050,Signed,90.00cm x 116.50cm,,,,Paintings,Oil / Canvas,271,4/1/19,Sotheby's Hong Kong
Le Pho,LE BAIGNADE (THE BATHING),0,80060,1,35870,70460,Signed,97.50cm x 130.00cm,,,,Paintings,Oil / Canvas,272,4/1/19,Sotheby's Hong Kong
Le Pho,UNE NATURE MORTE AUX FLEURS (A STILL LIFE WITH FLOWERS),0,16010,1,7690,10250,Signed,46.50cm x 33.50cm,,,,Paintings,Oil / Canvas,273,4/1/19,Sotheby's Hong Kong
Le Pho,DELPHINIUMS,0,96080,1,35870,70460,Signed,97.50cm x 130.50cm,,,,Paintings,Oil / Canvas,274,4/1/19,Sotheby's Hong Kong
Mai Trung Thu,LADY WITH A FAN,0,192150,1,51240,76860,Signed and Dated,56.00cm x 58.00cm,,,1933,Works on Paper,Ink and gouache on silk mounted on paper,275,4/1/19,Sotheby's Hong Kong
Mai Trung Thu,SEATED LADY WITH BLUE HAIRBAND,0,67250,1,7690,11530,Signed and Dated,63.50cm x 48.00cm,,,1934,Works on Paper,Chalk / Paper,276,4/1/19,Sotheby's Hong Kong
Ngo Van Hoa,SEATED GIRL BRUSHING HER HAIR,0,24020,1,1921,3202,Signed and Dated,55.00cm x 40.00cm,,,1956,Works on Paper,Ink and gouache / Silk,277,4/1/19,Sotheby's Hong Kong
Xuan Nhi Luong,LADY RESTING,0,112090,1,28180,48680,Signed,50.00cm x 35.50cm,,,,Works on Paper,Ink and gouache / Silk,278,4/1/19,Sotheby's Hong Kong
Van Ha Tran,STORK AND BAMBOO,0,8010,1,7690,11530,Signed,61.00cm x 122.50cm,,,,Paintings,Lacquer / Wood,279,4/1/19,Sotheby's Hong Kong
Truong Van Thanh,GOLDFISH,0,22420,1,7690,11530,Signed and Dated,60.00cm x 100.00cm,,,1953,Paintings,Lacquer / Board,281,4/1/19,Sotheby's Hong Kong
Alix Ayme,FEMMES DANS LA FORÊT (WOMEN IN THE FOREST),0,152120,1,30740,44840,Signed,150.00cm x 200.00cm,,,,Paintings,Lacquer / Wood,286,4/1/19,Sotheby's Hong Kong
Van Tho Tran,FESTIVAL DAY,0,,0,7690,11530,Signed,49.50cm x 69.00cm,,,c. 1950's,Paintings,Lacquer / Wood,288,4/1/19,Sotheby's Hong Kong
Alix Ayme,LISEUSE À CÔTÉ DE L'ANNAMITE (GIRL READING NEXT TO THE ANNAMITE MOUNTAINS),0,32030,1,20500,33310,Signed,46.00cm x 70.00cm,,,c. 1930-40,Paintings,Lacquer on wood panel,289,4/1/19,Sotheby's Hong Kong
Henri Mege,COUNTRY LANDSCAPE NEAR HUE,0,15210,1,11530,15370,Signed,60.50cm x 73.00cm,,,c. 1950,Paintings,Oil / Canvas,290,4/1/19,Sotheby's Hong Kong
Pham Hau,WATER POND IN A VIETNAMESE VILLAGE SCENE,0,25620,1,15370,23060,Stamped,46.00cm x 23.50cm,,,c. 1939-40's,Paintings,Lacquer and gold powder pigment on wooden box,292,4/1/19,Sotheby's Hong Kong
Pham Hau,L'ENTRÉE DU VILLAGE (THE GATE OF THE VILLAGE),0,76860,1,30740,48680,Signed,121.50cm x 54.00cm,,,,Paintings,Lacquer / Wood,295,4/1/19,Sotheby's Hong Kong
Gustav Hierholtz,TÊTE DE JEUNE GARÇON VIETNAMIEN (HEAD OF A YOUNG VIETNAMESE BOY),0,7210,1,3843,6410,Signed and Dated,,,,1920,Sculptures,Bronze with the original patina on a wood and metal base,296,4/1/19,Sotheby's Hong Kong
Tran Ngoc Quyen,PORTRAIT DE FEMME (PORTRAIT OF A WOMAN),0,9610,1,6410,8970,Signed and Dated,41.50cm x 29.50cm x 24.50cm,,,1935,Sculptures,Bronze,298,4/1/19,Sotheby's Hong Kong
Nam Nguyen,STILL LIFE,0,112090,1,12810,19220,Signed,40.50cm x 52.00cm,,,1922,Paintings,Oil / Canvas,299,4/1/19,Sotheby's Hong Kong
Nguyen Khang,DANSEUSE (DANCER),0,99280,1,30740,37150,Signed on Reverse,63.00cm x 46.00cm,,,c. 1934-35,Works on Paper,Ink and gouache / Silk,300,4/1/19,Sotheby's Hong Kong
Mai Trung Thu,FEMME AU PIPA (WOMAN WITH PIPA),0,80060,1,20500,35870,Signed,40.00cm x 28.50cm,,,,Works on Paper,Ink and gouache / Silk,301,4/1/19,Sotheby's Hong Kong
